ds,y
2014-01-01 00:00:00,155
2014-01-02 00:00:00,99
2014-01-03 00:00:00,107
2014-01-04 00:00:00,116
2014-01-05 00:00:00,99
2014-01-06 00:00:00,99
2014-01-07 00:00:00,118
2014-01-08 00:00:00,110
2014-01-09 00:00:00,98
2014-01-10 00:00:00,0
2014-01-11 00:00:00,99
2014-01-12 00:00:00,99
2014-01-13 00:00:00,107
2014-01-14 00:00:00,86
2014-01-15 00:00:00,88
2014-01-16 00:00:00,100
2014-01-17 00:00:00,96
2014-01-18 00:00:00,110
2014-01-19 00:00:00,98
2014-01-20 00:00:00,93
2014-01-21 00:00:00,122
2014-01-22 00:00:00,106
2014-01-23 00:00:00,109
2014-01-24 00:00:00,94
2014-01-25 00:00:00,104
2014-01-26 00:00:00,111
2014-01-27 00:00:00,98
2014-01-28 00:00:00,114
2014-01-29 00:00:00,104
2014-01-30 00:00:00,108
2014-01-31 00:00:00,105
2014-02-01 00:00:00,130
2014-02-02 00:00:00,112
2014-02-03 00:00:00,102
2014-02-04 00:00:00,121
2014-02-05 00:00:00,101
2014-02-06 00:00:00,115
2014-02-07 00:00:00,94
2014-02-08 00:00:00,101
2014-02-09 00:00:00,116
2014-02-10 00:00:00,122
2014-02-11 00:00:00,116
2014-02-12 00:00:00,114
2014-02-13 00:00:00,112
2014-02-14 00:00:00,101
2014-02-15 00:00:00,109
2014-02-16 00:00:00,112
2014-02-17 00:00:00,127
2014-02-18 00:00:00,120
2014-02-19 00:00:00,99
2014-02-20 00:00:00,121
2014-02-21 00:00:00,114
2014-02-22 00:00:00,111
2014-02-23 00:00:00,124
2014-02-24 00:00:00,129
2014-02-25 00:00:00,128
2014-02-26 00:00:00,111
2014-02-27 00:00:00,116
2014-02-28 00:00:00,123
2014-03-01 00:00:00,129
2014-03-02 00:00:00,115
2014-03-03 00:00:00,118
2014-03-04 00:00:00,109
2014-03-05 00:00:00,109
2014-03-06 00:00:00,129
2014-03-07 00:00:00,134
2014-03-08 00:00:00,120
2014-03-09 00:00:00,131
2014-03-10 00:00:00,125
2014-03-11 00:00:00,115
2014-03-12 00:00:00,125
2014-03-13 00:00:00,137
2014-03-14 00:00:00,122
2014-03-15 00:00:00,138
2014-03-16 00:00:00,96
2014-03-17 00:00:00,131
2014-03-18 00:00:00,124
2014-03-19 00:00:00,120
2014-03-20 00:00:00,124
2014-03-21 00:00:00,103
2014-03-22 00:00:00,121
2014-03-23 00:00:00,127
2014-03-24 00:00:00,138
2014-03-25 00:00:00,118
2014-03-26 00:00:00,115
2014-03-27 00:00:00,119
2014-03-28 00:00:00,133
2014-03-29 00:00:00,127
2014-03-30 00:00:00,119
2014-03-31 00:00:00,129
2014-04-01 00:00:00,175
2014-04-02 00:00:00,134
2014-04-03 00:00:00,117
2014-04-04 00:00:00,121
2014-04-05 00:00:00,120
2014-04-06 00:00:00,110
2014-04-07 00:00:00,0
2014-04-08 00:00:00,127
2014-04-09 00:00:00,124
2014-04-10 00:00:00,122
2014-04-11 00:00:00,110
2014-04-12 00:00:00,120
2014-04-13 00:00:00,121
2014-04-14 00:00:00,116
2014-04-15 00:00:00,123
2014-04-16 00:00:00,128
2014-04-17 00:00:00,143
2014-04-18 00:00:00,126
2014-04-19 00:00:00,127
2014-04-20 00:00:00,123
2014-04-21 00:00:00,105
2014-04-22 00:00:00,124
